Line,Rep,Nitrogen,Height,Cut,Branches,Architecture,Total.seeds,Primary.seeds,Beta,Beta.seeds,Zeta,Zeta.seeds,Kappa,Kappa.seeds,Tau,Tau.seeds,Chi,Chi.seeds,Xi,Xi.seeds,Upsilon,Upsilon.seeds,Omega,Omega.seeds
Blue,12,Low,68,N,4,D,69,32,1,11,1,15,1,11,0,0,0,0,0,0,0,0,0,0
Yellow,16,High,80.5,N,6,F,228,68,0,0,1,15,1,15,1,25,1,30,1,36,1,39,0,0
Blue,10,Low,71.5,N,5,E,104,43,1,12,1,16,1,14,1,19,0,0,0,0,0,0,0,0
Pink,5,Low,68.5,N,4,D,93,38,1,13,1,17,1,25,0,0,0,0,0,0,0,0,0,0
Pink,15,High,71,N,5,E,143,58,0,0,1,17,1,27,1,27,1,14,0,0,0,0,0,0
Blue,2,High,88,N,6,F,173,53,0,0,1,17,1,20,1,27,1,28,0,0,1,28,0,0
Blue,3,High,88.5,N,5,E,210,48,1,15,1,18,1,15,1,26,1,22,1,26,0,0,1,40
Pink,5,High,58,N,4,D,135,53,0,0,1,19,1,18,1,25,1,20,0,0,0,0,0,0
Blue,6,High,88,N,6,F,149,47,1,15,1,19,1,20,1,20,0,0,1,28,0,0,0,0
Yellow,13,High,93.5,N,6,F,144,62,0,0,1,20,1,11,1,26,1,25,0,0,0,0,0,0
Pink,18,High,81.5,N,9,I,268,72,0,0,1,20,1,20,1,45,1,35,1,35,1,26,1,15
Pink,4,Low,71,N,4,D,96,49,1,8,1,21,1,18,0,0,0,0,0,0,0,0,0,0
Pink,6,High,75.5,N,8,H,232,70,0,0,1,21,1,27,1,30,1,20,1,34,1,30,0,0
Yellow,13,Low,70,N,3,C,81,43,1,16,1,22,0,0,0,0,0,0,0,0,0,0,0,0
Yellow,11,High,92,N,7,G,226,52,1,0,1,24,1,27,1,26,1,31,1,36,1,30,0,0
Pink,2,High,74.5,N,7,G,270,74,0,0,1,25,1,29,0,0,1,44,1,44,1,40,1,14
Pink,7,High,84.5,N,4,D,143,61,1,3,1,26,1,28,1,25,0,0,0,0,0,0,0,0
Pink,8,High,88.5,N,4,D,232,69,1,57,1,27,1,44,1,35,0,0,0,0,0,0,0,0
Yellow,7,High,92,N,5,E,159,52,1,21,1,27,1,27,1,32,0,0,0,0,0,0,0,0
Yellow,14,High,90.5,N,6,F,206,61,0,0,1,28,0,0,1,40,1,4,1,50,1,23,0,0
Pink,17,High,87.5,N,7,G,277,71,1,0,1,28,1,35,0,0,1,18,1,43,1,42,1,40
Pink,4,High,77.5,N,5,E,160,62,1,0,1,29,1,26,1,20,1,23,0,0,0,0,0,0
Pink,3,High,75.5,N,6,F,229,69,0,0,1,29,1,36,1,31,1,41,1,23,0,0,0,0
Yellow,6,High,93,N,7,G,238,67,1,4,1,29,1,31,1,31,1,41,1,35,0,0,0,0
Yellow,1,High,48,N,4,D,105,30,1,9,1,30,1,22,1,14,0,0,0,0,0,0,0,0
Pink,2,High,78,N,7,G,292,73,0,0,1,32,1,29,0,0,1,44,1,54,1,46,1,14
Pink,13,High,76.5,N,5,E,157,64,0,0,1,33,1,25,1,10,1,25,0,0,0,0,0,0
Yellow,3,High,95.5,N,9,I,310,76,0,0,1,38,1,34,1,29,1,34,1,29,1,45,1,25
Yellow,15,High,91.1,N,7,G,233,64,0,0,1,46,1,25,1,28,1,33,0,0,1,37,0,0
Yellow,10,High,95,N,9,I,259,69,1,0,1,53,1,20,1,22,1,34,1,4,1,26,1,31
